Importer Country,Exporter Country,Imported Quantity (metric tons),Total Export (metric tons),Land Use Emission,Implied Carbon Emission,% 
China,Argentina,490432.834,623231.507,0.40577377,0.319311167,78.69191914
China,Brazil,1233130.359,1987220.954,0.49538451,0.307400985,62.05300707
USA,Mexico,267696.251,313264.728,0.200751141,0.171549246,85.45368417
USA,Canada,331207.464,439667.712,0.220850951,0.166369923,75.33131383
China,Uruguay,258910.134,383468.309,0.120259804,0.081197015,67.51800045
China,New Zealand,216626.111,473179.422,0.075052496,0.034359758,45.78096643
Rep. of Korea,USA,257199.874,1056649.139,0.116995059,0.028477868,24.34108606
Japan,USA,226755.222,1056649.139,0.116995059,0.025106953,21.45984045
Japan,Canada,48745.679,439667.712,0.220850951,0.024485604,11.08693618
USA,Brazil,89614.254,1987220.954,0.49538451,0.022339495,4.509526348
Egypt,Brazil,85314.53,1987220.954,0.49538451,0.021267638,4.293157652
China,USA,186269.706,1056649.139,0.116995059,0.020624287,17.62834018
Chile,Brazil,78977.088,1987220.954,0.49538451,0.019687809,3.974248004
USA,New Zealand,124009.395,473179.422,0.075052496,0.019669525,26.20768935
United Kingdom,Ireland,168928.289,371070.749,0.038906305,0.01771192,45.5245493
Japan,Mexico,26664.602,313264.728,0.200751141,0.017087622,8.511843029
Germany,Argentina,26016.593,623231.507,0.40577377,0.016938892,4.17446697
Japan,Australia,211024.228,941099.386,0.069245917,0.015527123,22.42316034
Israel,Argentina,23749.133,623231.507,0.40577377,0.015462593,3.810643798
Chile,Argentina,23439.385,623231.507,0.40577377,0.015260922,3.760943444
Philippines,Brazil,60500.602,1987220.954,0.49538451,0.015081897,3.044482961
Chile,Paraguay,134748.558,338328.171,0.036215614,0.014423871,39.82776876
United Arab Emirates,Brazil,56026.86,1987220.954,0.49538451,0.01396666,2.819357432
USA,Argentina,20612.594,623231.507,0.40577377,0.013420454,3.307373466
China,Australia,181684.338,941099.386,0.069245917,0.0133683,19.30554259
USA,Uruguay,40998.986,383468.309,0.120259804,0.012857725,10.69162311
Rep. of Korea,Australia,167147.379,941099.386,0.069245917,0.012298673,17.76086379
Mexico,USA,87266.053,1056649.139,0.116995059,0.009662334,8.258753902
USA,Australia,131045.021,941099.386,0.069245917,0.009642268,13.92467371
Israel,Brazil,38319.25,1987220.954,0.49538451,0.009552417,1.928283345
Rep. of Korea,Canada,18999.515,439667.712,0.220850951,0.00954371,4.321335252
Russian Federation,Brazil,37883.632,1987220.954,0.49538451,0.009443824,1.906362393
"China, Hong Kong SAR",Brazil,36319.893,1987220.954,0.49538451,0.009054007,1.827672609
Saudi Arabia,Brazil,35390.657,1987220.954,0.49538451,0.008822362,1.780911963
Mexico,Canada,16939.671,439667.712,0.220850951,0.008509022,3.852834666
China,Belarus,39125.19,45788.254,0.009252847,0.007906381,85.44808965
Canada,USA,69284.252,1056649.139,0.116995059,0.00767134,6.556977761
Malaysia,India,175158.8,943702.03,0.039250948,0.007285296,18.5608154
"Other Asia, nes",USA,64741.838,1056649.139,0.116995059,0.007168392,6.127089521
Russian Federation,Paraguay,65402.288,338328.171,0.036215614,0.007000848,19.33102114
Egypt,India,167685.192,943702.03,0.039250948,0.00697445,17.76887019
Netherlands,Argentina,10674.098,623231.507,0.40577377,0.006949695,1.712701883
Netherlands,Germany,86427.495,279955.074,0.022238411,0.006865424,30.87191796
USA,Nicaragua,55635.273,117466.685,0.013772478,0.006523003,47.36259517
Portugal,Spain,76605.803,221643.244,0.01796596,0.006209514,34.56266183
Italy,Brazil,24205.325,1987220.954,0.49538451,0.006034026,1.218048986
Uruguay,Brazil,23982.911,1987220.954,0.49538451,0.005978582,1.206856872
Germany,Netherlands,94518.74,412118.516,0.025941902,0.005949735,22.93484495
